player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url,age
207074,2021,338,oleksandr-andriyevskyi,Oleksandr Andriyevskyi,Ukraine,Ukraine,1994-06-25,Midfield,midfield - Central Midfield,Left,179,1080000.0,1080000.0,https://www.transfermarkt.co.uk/oleksandr-andriyevskyi/profil/spieler/207074,27
366723,2021,338,vladyslav-dubinchak,Vladyslav Dubinchak,Ukraine,Ukraine,1998-07-01,Defender,Defender - Left-Back,Left,173,900000.0,900000.0,https://www.transfermarkt.co.uk/vladyslav-dubinchak/profil/spieler/366723,23
213865,2021,338,mykyta-burda,Mykyta Burda,Ukraine,Ukraine,1995-03-24,Defender,Defender - Centre-Back,Right,187,720000.0,3150000.0,https://www.transfermarkt.co.uk/mykyta-burda/profil/spieler/213865,26
597880,2021,2740,dmytro-riznyk,Dmytro Riznyk,Ukraine,Ukraine,1999-01-30,Goalkeeper,Goalkeeper,Right,186,1800000.0,1800000.0,https://www.transfermarkt.co.uk/dmytro-riznyk/profil/spieler/597880,22
404841,2021,338,denys-popov,Denys Popov,Ukraine,Ukraine,1999-02-17,Defender,Defender - Centre-Back,Both,185,2700000.0,3150000.0,https://www.transfermarkt.co.uk/denys-popov/profil/spieler/404841,22
659089,2021,338,ilya-zabarnyi,Ilya Zabarnyi,Ukraine,Ukraine,2002-09-01,Defender,Defender - Centre-Back,Right,189,13500000.0,13500000.0,https://www.transfermarkt.co.uk/ilya-zabarnyi/profil/spieler/659089,19
404838,2021,338,vladyslav-kucheruk,Vladyslav Kucheruk,Ukraine,Ukraine,1999-02-14,Goalkeeper,Goalkeeper,Right,191,270000.0,360000.0,https://www.transfermarkt.co.uk/vladyslav-kucheruk/profil/spieler/404838,22
91931,2021,338,denys-boyko,Denys Boyko,UdSSR,Ukraine,1988-01-29,Goalkeeper,Goalkeeper,Right,197,900000.0,4950000.0,https://www.transfermarkt.co.uk/denys-boyko/profil/spieler/91931,33
417242,2021,338,ruslan-neshcheret,Ruslan Neshcheret,Ukraine,Ukraine,2002-01-22,Goalkeeper,Goalkeeper,Right,190,900000.0,900000.0,https://www.transfermarkt.co.uk/ruslan-neshcheret/profil/spieler/417242,19
206888,2021,338,georgiy-bushchan,Georgiy Bushchan,Ukraine,Ukraine,1994-05-31,Goalkeeper,Goalkeeper,Right,196,8100000.0,8100000.0,https://www.transfermarkt.co.uk/georgiy-bushchan/profil/spieler/206888,27
184928,2021,1301,joel-tagueu,Joel Tagueu,Cameroon,Cameroon,1993-12-06,Attack,attack - Centre-Forward,Left,178,900000.0,2250000.0,https://www.transfermarkt.co.uk/joel-tagueu/profil/spieler/184928,28
208469,2021,338,volodymyr-kostevych,Volodymyr Kostevych,Ukraine,Ukraine,1992-10-23,Defender,Defender - Left-Back,Left,174,450000.0,1350000.0,https://www.transfermarkt.co.uk/volodymyr-kostevych/profil/spieler/208469,29
249360,2021,1301,ali-alipour,Ali Alipour,Iran,Iran,1995-11-11,Attack,attack - Centre-Forward,Both,181,1350000.0,1350000.0,https://www.transfermarkt.co.uk/ali-alipour/profil/spieler/249360,26
287792,2021,338,oleksandr-tymchyk,Oleksandr Tymchyk,Ukraine,Ukraine,1997-01-20,Defender,Defender - Right-Back,Right,180,2250000.0,2250000.0,https://www.transfermarkt.co.uk/oleksandr-tymchyk/profil/spieler/287792,24
211796,2021,1301,clesio-bauque,Clesio Bauque,Mozambique,Mozambique,1994-10-11,Attack,attack - Left Winger,Right,174,270000.0,540000.0,https://www.transfermarkt.co.uk/clesio-bauque/profil/spieler/211796,27
426624,2021,1301,andre-vidigal,Andre Vidigal,Portugal,Portugal,1998-08-17,Attack,attack - Left Winger,Right,176,540000.0,585000.0,https://www.transfermarkt.co.uk/andre-vidigal/profil/spieler/426624,23
