country,pretty_name,position,market_value_in_gbp,age,LongitudeMeasure,LatitudeMeasure,value
Belgium,Noe Dussenne,Defender,720000.0,29,3.786855338236122,51.178174212764254,"720,000.0"
Belgium,Charles De Ketelaere,Attack,27000000.0,20,3.94244726544752,50.994579669212925,"27,000,000.0"
Belgium,Arnaud Bodart,Goalkeeper,3600000.0,23,5.955230808402733,50.39878663853522,"3,600,000.0"
Belgium,Mehdi Carcela Gonzalez,Attack,450000.0,32,4.216849162101961,51.260563872682646,"450,000.0"
Belgium,Laurent Depoitre,Attack,720000.0,33,5.000342552681104,51.24093895278449,"720,000.0"
Belgium,Gianni Bruno,Attack,1170000.0,30,3.659888545394661,51.09513513943232,"1,170,000.0"
Belgium,Sven Kums,Midfield,720000.0,33,4.099217338070472,50.448840965838215,"720,000.0"
Belgium,Vadis Odjidja Ofoe,Midfield,1170000.0,32,3.8650195050986698,51.20756838087727,"1,170,000.0"
Belgium,Wouter George,Midfield,135000.0,19,3.8013387051658976,50.77524180435247,"135,000.0"
Belgium,Julien De Sart,Midfield,2700000.0,27,3.301595057408041,51.26182505828375,"2,700,000.0"
Belgium,Alessio Castro Montes,Defender,3780000.0,24,5.654411611781565,50.019085181758506,"3,780,000.0"
Belgium,Bruno Godeau,Defender,540000.0,29,4.423118635477961,50.58147987108952,"540,000.0"
Belgium,Davy Roef,Goalkeeper,1350000.0,27,5.434299017698998,50.04373902002429,"1,350,000.0"
Belgium,Dante Vanzeir,Attack,4950000.0,23,5.085566468118094,51.24818536037621,"4,950,000.0"
Belgium,Guillaume Francois,Defender,270000.0,31,5.190031702320622,50.62143424095797,"270,000.0"
Belgium,Laurent Henkinet,Goalkeeper,405000.0,29,4.8062871665105344,50.39395747100545,"405,000.0"
Belgium,Lucas Pirard,Goalkeeper,360000.0,26,3.4656705993217485,51.24043412632961,"360,000.0"
Belgium,Daan Heymans,Attack,1080000.0,22,4.940817742013293,50.42627446634249,"1,080,000.0"
Belgium,Joris Kayembe,Defender,2700000.0,27,5.222146944902756,50.63061948697634,"2,700,000.0"
Belgium,Anthony Moris,Goalkeeper,1350000.0,31,2.588173657804281,51.01478667130535,"1,350,000.0"
Belgium,Geoffry Hairemans,Attack,675000.0,30,4.884993257551008,50.684025039846,"675,000.0"
Belgium,Onur Kaya,Attack,135000.0,35,5.849319738549916,50.40521981311256,"135,000.0"
Belgium,Nikola Storm,Midfield,4050000.0,27,3.8681491294858055,50.54209010914423,"4,050,000.0"
Belgium,Rob Schoofs,Midfield,2250000.0,27,3.758159581383509,51.03094467120367,"2,250,000.0"
Belgium,Iebe Swers,Defender,360000.0,25,4.41551369317947,51.23555581252441,"360,000.0"
Belgium,Niklo Dailly,Attack,90000.0,20,4.926798439608918,51.35495551332164,"90,000.0"
Belgium,Sandy Walsh,Defender,1620000.0,26,5.846273266082816,50.73282148789487,"1,620,000.0"
Belgium,Alec Van Hoorenbeeck,Defender,630000.0,23,5.012442643188475,50.25743229618604,"630,000.0"
